simple_linnean_group_alt,major_type,linnean_order,linnean_family,linnean_subfamily,linnean_tribe,genus,species,subspecies,canonical_sciname,juniorSynonym?,synonymOf?,notes,citation,extinct?,internal_id,newSppSinceMSW3?,IfNew_category,IfNew_valid_SciName,IfNew_described_SciName,IfNew_GeoRegion,IfNew_evidenceCitation,IfNew_evidenceAuthors,IfNew_evidenceYear,IfNew_evidenceLink,IfNew_nameCitation,IfNew_nameAuthors,IfNew_nameYear,IfNew_nameLink,genusTransfersinceMSW3?,IfTransfer_oldSciName,IfTransfer_oldIUCN_ID,IfTransfer_evidenceCitation
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_evoronensis,Alexandromys_evoronensis,Alexandromys_evoronensis,FALSE,,transfered_to_Alexandromys,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,13429,FALSE,,,,,,,,,,,,,TRUE,Microtus_evoronensis,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_fortis,Alexandromys_fortis,Alexandromys_fortis,FALSE,,previously_included_in_Microtus,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,400000009,FALSE,,,,,,,,,,,,,TRUE,Microtus_fortis,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_gromovi,Alexandromys_gromovi,Alexandromys_gromovi,FALSE,,"reinstated,_and_moved_to_Alexandromys_","Sheremetyeva,_I._N.,_Kartavtseva,_I._V.,_Voyta,_L._L.,_Kryukov,_A._P.,_&_Haring,_E._(2009)._Morphometric_analysis_of_intraspecific_variation_in_Microtus_maximowiczii_(Rodentia,_Cricetidae)_in_relation_to_chromosomal_differentiation_with_reinstatement_of_Microtus_gromoviVorontsov,_Boeskorov,_Lyapunova_et_Revin,_1988,_stat._nov._Journal_of_Zoological_Systematics_and_Evolutionary_Research,_47(1),_42-48.",0,100000380,TRUE,splitFromExisting,Alexandromys_gromovi,Alexandromys_gromovi,_notEntered,"Sheremetyeva,_I._N.,_Kartavtseva,_I._V.,_Voyta,_L._L.,_Kryukov,_A._P.,_&_Haring,_E._(2009)._Morphometric_analysis_of_intraspecific_variation_in_Microtus_maximowiczii_(Rodentia,_Cricetidae)_in_relation_to_chromosomal_differentiation_with_reinstatement_of_Microtus_gromoviVorontsov,_Boeskorov,_Lyapunova_et_Revin,_1988,_stat._nov._Journal_of_Zoological_Systematics_&_Evolutionary_Research,_47(1),_42-48.","Sheremetyeva,_I_N.,_Kartavtseva,_I_V.,_Voyta,_L_L.,_Kryukov,_A_P.,_&_Haring,_E_",2009,http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0469.2008.00511.x/abstract,"Vorontsov,_N.N.,_Boeskorov,_G.G.,_Lyapuova,_E.A.,_Revin,_Yu.V._1988._A_new_chromosome_form_and_variability_of_molars_in_voles_Microtus_maximowiczii_(Rodentia,_Cricetidae)._Zoologicheskii_Zhurnal_67(2),_no._2:_205-214._[in_Russian]","Vorontsov,_Boeskorov,_Ljapunova_&_Revin",1988,_noneYet,TRUE,Microtus_gromovi,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_kikuchii,Alexandromys_kikuchii,Alexandromys_kikuchii,FALSE,,previously_included_in_Microtus,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,400000010,FALSE,,,,,,,,,,,,,TRUE,Microtus_kikuchii,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_limnophilus,Alexandromys_limnophilus,Alexandromys_limnophilus,FALSE,,previously_included_in_Microtus,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,400000011,FALSE,,,,,,,,,,,,,TRUE,Microtus_limnophilus,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_maximowiczii,Alexandromys_maximowiczii,Alexandromys_maximowiczii,FALSE,,previously_included_in_Microtus,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,400000012,FALSE,,,,,,,,,,,,,TRUE,Microtus_maximowiczii,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_middendorffii,Alexandromys_middendorffii,Alexandromys_middendorffii,FALSE,,transferred_to_Alexandromys,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,400000013,FALSE,,,,,,,,,,,,,TRUE,Microtus_middendorffii,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_mongolicus,Alexandromys_mongolicus,Alexandromys_mongolicus,FALSE,,transferred_to_Alexandromys,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,13445,FALSE,,,,,,,,,,,,,TRUE,Microtus_mongolicus,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_montebelli,Alexandromys_montebelli,Alexandromys_montebelli,FALSE,,transferred_to_Alexandromys,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,13446,FALSE,,,,,,,,,,,,,TRUE,Microtus_montebelli,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,ARVICOLINAE,MICROTINI,Alexandromys,Alexandromys_mujanensis,Alexandromys_mujanensis,Alexandromys_mujanensis,FALSE,,transferred_to_Alexandromys,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170.",0,13447,FALSE,,,,,,,,,,,,,TRUE,Microtus_mujanensis,_toLookUp,"Liu,_S.,_Jin,_W.,_Liu,_Y.,_Murphy,_R._W.,_Lv,_B.,_Hao,_H.,_..._&_Fu,_J._(2016)._Taxonomic_position_of_Chinese_voles_of_the_tribe_Arvicolini_and_the_description_of_2_new_species_from_Xizang,_China._Journal_of_Mammalogy,_gyw170."
