major_type,major_subtype,linnean_order,linnean_family,linnean_subfamily,linnean_tribeg,genus,canonical_sciname,juniorSynonym,synonymOf,notes,citation,extinct,species_authority,authority_year,authority_fullcitation,authority_link,geo_distribution,MDDv1,internal_id,newSppSinceMSW3,IfNew_category,IfNew_valid_SciName,IfNew_described_SciName,IfNew_GeoRegion,IfNew_evidenceCitation,IfNew_evidenceAuthors,IfNew_evidenceYear,IfNew_evidenceLink,IfNew_nameCitation,IfNew_nameAuthors,IfNew_nameYear,IfNew_nameLink,genusTransfersinceMSW3,IfTransfer_oldSciName,IfTransfer_oldIUCN_ID,IfTransfer_evidenceCitation
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Amblysomus,Amblysomus_corriae,NO,NA,NA,NA,0,Thomas,1905,,,Afrotropic,0,62006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Amblysomus,Amblysomus_hottentotus,NO,NA,NA,NA,0,A. Smith,1829,,,Afrotropic,0,41316,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Amblysomus,Amblysomus_marleyi,NO,NA,NA,NA,0,Roberts,1931,,,Afrotropic,0,62007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Amblysomus,Amblysomus_robustus,NO,NA,NA,NA,0,Bronner,2000,,,Afrotropic,0,62008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Amblysomus,Amblysomus_septentrionalis,NO,NA,NA,NA,0,Roberts,1913,,,Afrotropic,0,62009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Calcochloris,Calcochloris_obtusirostris,NO,NA,NA,NA,0,Peters,1851,,,Afrotropic,0,3519,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Calcochloris,Calcochloris_tytonis,NO,NA,NA,NA,0,Simonetta,1968,,,Afrotropic,0,4767,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Carpitalpa,Carpitalpa_arendsi,NO,NA,NA,NA,0,Lundholm,1955,,,Afrotropic,0,40596,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Chlorotalpa,Chlorotalpa_duthieae,NO,NA,"misspelt,_should_be_duthieae",NA,0,Broom,1907,,,Afrotropic,0,400000085,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Chlorotalpa,Chlorotalpa_sclateri,NO,NA,NA,NA,0,Broom,1907,,,Afrotropic,0,4766,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Chrysochloris,Chrysochloris_asiatica,NO,NA,NA,NA,0,Linnaeus,1758,"Linneaus, C von. 1758. Systema naturae per regna tria naturae: secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. (10th Ed.). Stockholm: Laurentius Salvius.",https://biodiversitylibrary.org/page/25033865,Afrotropic,0,40600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Chrysochloris,Chrysochloris_stuhlmanni,NO,NA,moved_back_to_Chrysochloris_until_unpublished_data_is_published,"Bronner,_G._2015._Chrysochloris_stuhlmanni._The_IUCN_Red_List_of_Threatened_Species_2015:_e.T40601A21288271._http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T40601A21288271.en._Downloaded_on_27_April_2017.",0,Matschie,1894,,,Afrotropic,0,400000087,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Chrysochloris,Chrysochloris_visagiei,NO,NA,NA,NA,0,Broom,1950,,,Afrotropic,0,4812,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Chrysospalax,Chrysospalax_trevelyani,NO,NA,NA,NA,0,Günther,1875,,,Afrotropic,0,4828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Chrysospalax,Chrysospalax_villosus,NO,NA,NA,NA,0,A. Smith,1833,,,Afrotropic,0,4829,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Cryptochloris,Cryptochloris_wintoni,NO,NA,NA,NA,0,Broom,1907,,,Afrotropic,0,5748,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Cryptochloris,Cryptochloris_zyli,NO,NA,NA,NA,0,Shortridge & Carter,1938,,,Afrotropic,0,5749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Eremitalpa,Eremitalpa_granti,NO,NA,NA,NA,0,Broom,1907,,,Afrotropic,0,7994,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Huetia,Huetia_leucorhina,NO,NA,should_be_leucorhina_to_match_genus,NA,0,Huet,1885,,,Afrotropic,0,400000197,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Neamblysomus,Neamblysomus_gunningi,NO,NA,NA,NA,0,Broom,1908,,,Afrotropic,0,1087,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,CHRYSOCHLORIDAE,NA,NA,Neamblysomus,Neamblysomus_julianae,NO,NA,NA,NA,0,Meester,1972,,,Afrotropic,0,1089,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,POTAMOGALIDAE,NA,NA,Micropotamogale,Micropotamogale_lamottei,NO,NA,NA,NA,0,Heim de Balsac,1954,,,Afrotropic,0,13393,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,POTAMOGALIDAE,NA,NA,Micropotamogale,Micropotamogale_ruwenzorii,NO,NA,NA,NA,0,de Witte & Frechkop,1955,,,Afrotropic,0,13394,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,POTAMOGALIDAE,NA,NA,Potamogale,Potamogale_velox,NO,NA,NA,NA,0,Du Chaillu,1860,,,Afrotropic,0,18095,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,TENRECINAE,NA,Echinops,Echinops_telfairi,NO,NA,NA,NA,0,Martin,1838,,,Afrotropic,0,40592,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,GEOGALINAE,NA,Geogale,Geogale_aurita,NO,NA,NA,NA,0,Milne-Edwards & A. Grandidier,1872,,,Afrotropic,0,9048,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,TENRECINAE,NA,Hemicentetes,Hemicentetes_nigriceps,NO,NA,NA,NA,0,Günther,1875,,,Afrotropic,0,62011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,TENRECINAE,NA,Hemicentetes,Hemicentetes_semispinosus,NO,NA,NA,NA,0,G. Cuvier,1798,,,Afrotropic,0,40593,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_brevicaudata,NO,NA,NA,NA,0,G. Grandidier,1899,,,Afrotropic,0,13340,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_cowani,NO,NA,NA,NA,0,Thomas,1882,,,Afrotropic,0,40586,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_drouhardi,NO,NA,NA,NA,0,G. Grandidier,1934,,,Afrotropic,0,62012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_dryas,NO,NA,NA,NA,0,Jenkins,1992,,,Afrotropic,0,13356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Placentalia,Afrotheria,AFROSORICIDA,TENRECIDAE,ORYZORICTINAE,NA,Microgale,Microgale_fotsifotsy,NO,NA,NA,NA,0,"Jenkins, Raxworthy, & Nussbaum",1997,,,Afrotropic,0,62013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
