image,deprecated_scientific,common_name,simple_linnean_group,simple_linnean_subgroup,linnean_order,linnean_family,notes,genus,genus_authority,species,species_authority,subspecies,canonical_sciname,authority_year,major_type,major_subtype,taxon_author,taxon_credit,taxon_credit_date,parens_auth_genus,parens_auth_species,source,internal_id
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Amblysomus,,corriae,,,Amblysomus_corriae,,,,,,,FALSE,FALSE,IUCN,62006
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Amblysomus,,hottentotus,,,Amblysomus_hottentotus,,,,,,,FALSE,FALSE,IUCN,41316
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Amblysomus,,marleyi,,,Amblysomus_marleyi,,,,,,,FALSE,FALSE,IUCN,62007
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Amblysomus,,robustus,,,Amblysomus_robustus,,,,,,,FALSE,FALSE,IUCN,62008
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Amblysomus,,septentrionalis,,,Amblysomus_septentrionalis,,,,,,,FALSE,FALSE,IUCN,62009
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Calcochloris,,obtusirostris,,,Calcochloris_obtusirostris,,,,,,,FALSE,FALSE,IUCN,3519
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Calcochloris,,tytonis,,,Calcochloris_tytonis,,,,,,,FALSE,FALSE,IUCN,4767
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Carpitalpa,,arendsi,,,Carpitalpa_arendsi,,,,,,,FALSE,FALSE,IUCN,40596
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Chlorotalpa,,duthieae,,,Chlorotalpa_duthieae,,,,,,,FALSE,FALSE,IUCN,4768
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Chlorotalpa,,sclateri,,,Chlorotalpa_sclateri,,,,,,,FALSE,FALSE,IUCN,4766
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Chrysochloris,,asiatica,,,Chrysochloris_asiatica,,,,,,,FALSE,FALSE,IUCN,40600
,,,eutheria,,AFROSORICIDA,CHRYSOCHLORIDAE,,Chrysochloris,,stuhlmanni,,,Chrysochloris_stuhlmanni,,,,,,,FALSE,FALSE,IUCN,40601
