Source	ID	Order	Family	Genus	Species	SciName
IUCN	16	RODENTIA	CRICETIDAE	Abrawayaomys	ruschii	Abrawayaomys_ruschii
IUCN	18	RODENTIA	ABROCOMIDAE	Abrocoma	boliviensis	Abrocoma_boliviensis
IUCN	137	CHIROPTERA	PTEROPODIDAE	Acerodon	celebensis	Acerodon_celebensis
IUCN	138	CHIROPTERA	PTEROPODIDAE	Acerodon	humilis	Acerodon_humilis
IUCN	139	CHIROPTERA	PTEROPODIDAE	Acerodon	jubatus	Acerodon_jubatus
IUCN	140	CHIROPTERA	PTEROPODIDAE	Acerodon	leucotis	Acerodon_leucotis
IUCN	142	CHIROPTERA	PTEROPODIDAE	Acerodon	mackloti	Acerodon_mackloti
IUCN	219	CARNIVORA	FELIDAE	Acinonyx	jubatus	Acinonyx_jubatus
IUCN	263	RODENTIA	MURIDAE	Acomys	cahirinus	Acomys_cahirinus
IUCN	264	RODENTIA	MURIDAE	Acomys	cilicicus	Acomys_cilicicus
IUCN	265	RODENTIA	MURIDAE	Acomys	cineraceus	Acomys_cineraceus
IUCN	266	RODENTIA	MURIDAE	Acomys	ignitus	Acomys_ignitus
IUCN	267	RODENTIA	MURIDAE	Acomys	kempi	Acomys_kempi
IUCN	268	RODENTIA	MURIDAE	Acomys	louisae	Acomys_louisae
IUCN	269	RODENTIA	MURIDAE	Acomys	minous	Acomys_minous
IUCN	270	RODENTIA	MURIDAE	Acomys	mullah	Acomys_mullah
IUCN	271	RODENTIA	MURIDAE	Acomys	nesiotes	Acomys_nesiotes
IUCN	272	RODENTIA	MURIDAE	Acomys	percivali	Acomys_percivali
IUCN	273	RODENTIA	MURIDAE	Acomys	russatus	Acomys_russatus
IUCN	274	RODENTIA	MURIDAE	Acomys	spinosissimus	Acomys_spinosissimus
IUCN	275	RODENTIA	MURIDAE	Acomys	subspinosus	Acomys_subspinosus
IUCN	276	RODENTIA	MURIDAE	Acomys	wilsoni	Acomys_wilsoni
IUCN	278	RODENTIA	OCTODONTIDAE	Aconaemys	fuscus	Aconaemys_fuscus
IUCN	279	RODENTIA	OCTODONTIDAE	Aconaemys	sagei	Aconaemys_sagei
IUCN	512	ARTIODACTYLA	BOVIDAE	Addax	nasomaculatus	Addax_nasomaculatus
IUCN	547	RODENTIA	CRICETIDAE	Handleyomys	fuscatus	Handleyomys_fuscatus
IUCN	548	RODENTIA	CRICETIDAE	Aepeomys	lugens	Aepeomys_lugens
IUCN	550	ARTIODACTYLA	BOVIDAE	Aepyceros	melampus	Aepyceros_melampus
IUCN	555	RODENTIA	SCIURIDAE	Aeretes	melanopterus	Aeretes_melanopterus
IUCN	556	RODENTIA	SCIURIDAE	Aeromys	tephromelas	Aeromys_tephromelas
IUCN	557	RODENTIA	SCIURIDAE	Aeromys	thomasi	Aeromys_thomasi
IUCN	565	CHIROPTERA	PTEROPODIDAE	Aethalops	alecto	Aethalops_alecto
IUCN	567	RODENTIA	MURIDAE	Aethomys	silindensis	Aethomys_silindensis
IUCN	568	RODENTIA	MURIDAE	Aethomys	bocagei	Aethomys_bocagei
IUCN	569	RODENTIA	MURIDAE	Aethomys	chrysophilus	Aethomys_chrysophilus
IUCN	570	RODENTIA	MURIDAE	Aethomys	granti	Aethomys_granti
IUCN	571	RODENTIA	MURIDAE	Aethomys	hindei	Aethomys_hindei
IUCN	572	RODENTIA	MURIDAE	Aethomys	kaiseri	Aethomys_kaiseri
IUCN	573	RODENTIA	MURIDAE	Aethomys	namaquensis	Aethomys_namaquensis
IUCN	574	RODENTIA	MURIDAE	Aethomys	nyikae	Aethomys_nyikae
IUCN	575	RODENTIA	MURIDAE	Aethomys	stannarius	Aethomys_stannarius
IUCN	576	RODENTIA	MURIDAE	Aethomys	thomasi	Aethomys_thomasi
IUCN	699	RODENTIA	CUNICULIDAE	Cuniculus	paca	Cuniculus_paca
IUCN	700	RODENTIA	CUNICULIDAE	Cuniculus	taczanowskii	Cuniculus_taczanowskii
IUCN	712	CARNIVORA	URSIDAE	Ailuropoda	melanoleuca	Ailuropoda_melanoleuca
IUCN	714	CARNIVORA	AILURIDAE	Ailurus	fulgens	Ailurus_fulgens
IUCN	723	RODENTIA	CRICETIDAE	Akodon	aerosus	Akodon_aerosus
IUCN	724	RODENTIA	CRICETIDAE	Akodon	affinis	Akodon_affinis
IUCN	725	RODENTIA	CRICETIDAE	Akodon	albiventer	Akodon_albiventer
IUCN	726	RODENTIA	CRICETIDAE	Akodon	azarae	Akodon_azarae
IUCN	727	RODENTIA	CRICETIDAE	Akodon	bogotensis	Akodon_bogotensis
IUCN	728	RODENTIA	CRICETIDAE	Akodon	boliviensis	Akodon_boliviensis
IUCN	729	RODENTIA	CRICETIDAE	Akodon	budini	Akodon_budini
IUCN	730	RODENTIA	CRICETIDAE	Akodon	cursor	Akodon_cursor
IUCN	731	RODENTIA	CRICETIDAE	Akodon	dayi	Akodon_dayi
IUCN	732	RODENTIA	CRICETIDAE	Akodon	dolores	Akodon_dolores
IUCN	733	RODENTIA	CRICETIDAE	Akodon	fumeus	Akodon_fumeus
IUCN	734	RODENTIA	CRICETIDAE	Abrothrix	hershkovitzi	Abrothrix_hershkovitzi
IUCN	735	RODENTIA	CRICETIDAE	Abrothrix	illuteus	Abrothrix_illuteus
IUCN	736	RODENTIA	CRICETIDAE	Akodon	iniscatus	Akodon_iniscatus
IUCN	737	RODENTIA	CRICETIDAE	Akodon	juninensis	Akodon_juninensis
IUCN	738	RODENTIA	CRICETIDAE	Deltamys	kempi	Deltamys_kempi
IUCN	739	RODENTIA	CRICETIDAE	Akodon	kofordi	Akodon_kofordi
IUCN	740	RODENTIA	CRICETIDAE	Abrothrix	lanosus	Abrothrix_lanosus
IUCN	741	RODENTIA	CRICETIDAE	Akodon	latebricola	Akodon_latebricola
IUCN	742	RODENTIA	CRICETIDAE	Akodon	lindberghi	Akodon_lindberghi
IUCN	743	RODENTIA	CRICETIDAE	Abrothrix	longipilis	Abrothrix_longipilis
IUCN	745	RODENTIA	CRICETIDAE	Abrothrix	markhami	Abrothrix_markhami
IUCN	746	RODENTIA	CRICETIDAE	Akodon	mimus	Akodon_mimus
IUCN	747	RODENTIA	CRICETIDAE	Akodon	molinae	Akodon_molinae
IUCN	748	RODENTIA	CRICETIDAE	Akodon	mollis	Akodon_mollis
IUCN	749	RODENTIA	CRICETIDAE	Akodon	neocenus	Akodon_neocenus
IUCN	750	RODENTIA	CRICETIDAE	Thaptomys	nigrita	Thaptomys_nigrita
IUCN	751	RODENTIA	CRICETIDAE	Abrothrix	olivaceus	Abrothrix_olivaceus
IUCN	752	RODENTIA	CRICETIDAE	Akodon	orophilus	Akodon_orophilus
IUCN	753	RODENTIA	CRICETIDAE	Akodon	lutescens	Akodon_lutescens
IUCN	754	RODENTIA	CRICETIDAE	Abrothrix	sanborni	Abrothrix_sanborni
IUCN	755	RODENTIA	CRICETIDAE	Akodon	sanctipaulensis	Akodon_sanctipaulensis
IUCN	756	RODENTIA	CRICETIDAE	Akodon	serrensis	Akodon_serrensis
IUCN	757	RODENTIA	CRICETIDAE	Akodon	siberiae	Akodon_siberiae
IUCN	758	RODENTIA	CRICETIDAE	Akodon	simulator	Akodon_simulator
IUCN	759	RODENTIA	CRICETIDAE	Akodon	spegazzinii	Akodon_spegazzinii
IUCN	760	RODENTIA	CRICETIDAE	Akodon	subfuscus	Akodon_subfuscus
IUCN	761	RODENTIA	CRICETIDAE	Akodon	surdus	Akodon_surdus
IUCN	762	RODENTIA	CRICETIDAE	Akodon	sylvanus	Akodon_sylvanus
IUCN	763	RODENTIA	CRICETIDAE	Akodon	toba	Akodon_toba
IUCN	764	RODENTIA	CRICETIDAE	Akodon	torques	Akodon_torques
IUCN	765	RODENTIA	CRICETIDAE	Necromys	urichi	Necromys_urichi
IUCN	766	RODENTIA	CRICETIDAE	Akodon	varius	Akodon_varius
IUCN	811	ARTIODACTYLA	BOVIDAE	Alcelaphus	buselaphus	Alcelaphus_buselaphus
IUCN	818	ARTIODACTYLA	CERVIDAE	Alces	americanus	Alces_americanus
IUCN	843	CHIROPTERA	PTEROPODIDAE	Alionycteris	paucidentata	Alionycteris_paucidentata
IUCN	850	RODENTIA	DIPODIDAE	Allactaga	tetradactyla	Allactaga_tetradactyla
IUCN	851	RODENTIA	DIPODIDAE	Allactaga	balikunica	Allactaga_balikunica
IUCN	852	RODENTIA	DIPODIDAE	Allactaga	bullata	Allactaga_bullata
IUCN	853	RODENTIA	DIPODIDAE	Allactaga	elater	Allactaga_elater
IUCN	854	RODENTIA	DIPODIDAE	Allactaga	euphratica	Allactaga_euphratica
IUCN	855	RODENTIA	DIPODIDAE	Allactaga	firouzi	Allactaga_firouzi
IUCN	856	RODENTIA	DIPODIDAE	Allactaga	hotsoni	Allactaga_hotsoni
IUCN	857	RODENTIA	DIPODIDAE	Allactaga	major	Allactaga_major
IUCN	858	RODENTIA	DIPODIDAE	Allactaga	severtzovi	Allactaga_severtzovi
IUCN	859	RODENTIA	DIPODIDAE	Allactaga	sibirica	Allactaga_sibirica
IUCN	860	RODENTIA	DIPODIDAE	Allactaga	vinogradovi	Allactaga_vinogradovi
IUCN	861	RODENTIA	DIPODIDAE	Allactodipus	bobrinskii	Allactodipus_bobrinskii
IUCN	865	PRIMATES	CERCOPITHECIDAE	Allenopithecus	nigroviridis	Allenopithecus_nigroviridis
IUCN	868	PRIMATES	CHEIROGALEIDAE	Allocebus	trichotis	Allocebus_trichotis
IUCN	875	RODENTIA	CRICETIDAE	Allocricetulus	eversmanni	Allocricetulus_eversmanni
IUCN	899	CARNIVORA	CANIDAE	Vulpes	lagopus	Vulpes_lagopus
IUCN	914	PRIMATES	ATELIDAE	Alouatta	pigra	Alouatta_pigra
IUCN	918	PRIMATES	ATELIDAE	Alouatta	ululata	Alouatta_ululata
IUCN	922	PRIMATES	ATELIDAE	Alouatta	juara	Alouatta_juara
IUCN	948	RODENTIA	CRICETIDAE	Alticola	albicaudus	Alticola_albicaudus
IUCN	949	RODENTIA	CRICETIDAE	Alticola	argentatus	Alticola_argentatus
IUCN	950	RODENTIA	CRICETIDAE	Alticola	barakshin	Alticola_barakshin
IUCN	951	RODENTIA	CRICETIDAE	Alticola	lemminus	Alticola_lemminus
IUCN	952	RODENTIA	CRICETIDAE	Alticola	macrotis	Alticola_macrotis
IUCN	953	RODENTIA	CRICETIDAE	Alticola	montosa	Alticola_montosa
IUCN	954	RODENTIA	CRICETIDAE	Alticola	roylei	Alticola_roylei
IUCN	955	RODENTIA	CRICETIDAE	Alticola	semicanus	Alticola_semicanus
IUCN	956	RODENTIA	CRICETIDAE	Alticola	stoliczkanus	Alticola_stoliczkanus
IUCN	958	RODENTIA	CRICETIDAE	Alticola	strelzowi	Alticola_strelzowi
IUCN	959	RODENTIA	CRICETIDAE	Alticola	tuvinicus	Alticola_tuvinicus
IUCN	1087	AFROSORICIDA	CHRYSOCHLORIDAE	Neamblysomus	gunningi	Neamblysomus_gunningi
IUCN	1089	AFROSORICIDA	CHRYSOCHLORIDAE	Neamblysomus	julianae	Neamblysomus_julianae
IUCN	1137	CHIROPTERA	PHYLLOSTOMIDAE	Ametrida	centurio	Ametrida_centurio
IUCN	1140	RODENTIA	MURIDAE	Ammodillus	imbellis	Ammodillus_imbellis
IUCN	1141	ARTIODACTYLA	BOVIDAE	Ammodorcas	clarkei	Ammodorcas_clarkei
IUCN	1149	RODENTIA	SCIURIDAE	Ammospermophilus	nelsoni	Ammospermophilus_nelsoni
IUCN	1151	ARTIODACTYLA	BOVIDAE	Ammotragus	lervia	Ammotragus_lervia
IUCN	1154	CHIROPTERA	FURIPTERIDAE	Amorphochilus	schnablii	Amorphochilus_schnablii
IUCN	1264	RODENTIA	CRICETIDAE	Andalgalomys	olrogi	Andalgalomys_olrogi
IUCN	1265	RODENTIA	CRICETIDAE	Andalgalomys	pearsoni	Andalgalomys_pearsoni
IUCN	1271	RODENTIA	CRICETIDAE	Andinomys	edax	Andinomys_edax
IUCN	1307	RODENTIA	MURIDAE	Anisomys	imitator	Anisomys_imitator
IUCN	1550	RODENTIA	ANOMALURIDAE	Anomalurus	derbianus	Anomalurus_derbianus
IUCN	1551	RODENTIA	ANOMALURIDAE	Anomalurus	pelii	Anomalurus_pelii
IUCN	1553	RODENTIA	ANOMALURIDAE	Anomalurus	pusillus	Anomalurus_pusillus
IUCN	1559	RODENTIA	MURIDAE	Anonymomys	mindorensis	Anonymomys_mindorensis
IUCN	1564	RODENTIA	CRICETIDAE	Anotomys	leander	Anotomys_leander
IUCN	1565	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	caudifer	Anoura_caudifer
IUCN	1566	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	cultrata	Anoura_cultrata
IUCN	1567	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	geoffroyi	Anoura_geoffroyi
IUCN	1568	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	latidens	Anoura_latidens
IUCN	1569	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	luismanueli	Anoura_luismanueli
