"canonical_sciname","id","species_authority","image","notes","authority_year","parens_auth_genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","source","species","taxon_credit","taxon_credit_date","common_name","citation","image_credit","image_license","entry","common_name_source","image_caption","species_authority_citation","genus_authority_citation","simple_linnean_group","simple_linnean_group_alt","major_type","major_subtype","simple_linnean_subgroup","linnean_order","linnean_family","linnean_subfamily","linnean_tribe","genus","juniorSynonym","synonymOf","TaxonomyNotes","TaxonomyNotes_Citation","extinct","geo_distribution","authority_fullcitation","authority_link","MDDv1","internal_id","newSppSinceMSW3","IfNew_category","IfNew_evidenceCitation","IfNew_evidenceAuthors","IfNew_evidenceYear","IfNew_evidenceLink","IfNew_nameCitation","IfNew_nameAuthors","IfNew_nameYear","IfNew_nameLink","genusTransfersinceMSW3","IfTransfer_oldSciName","IfTransfer_oldIUCN_ID","IfTransfer_evidenceCitation"
"Abditomys latidens","4711","Sanborn","null","NULL","{""1952"":1952}","false","null","false","Sanborn","null","null","iucn","latidens","null","null","Luzon Broad-toothed Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","murinae","rattini","abditomys","false","","","","false","indomalayan","","","true","42641","false","","","","","","","","","","false","NA","",""
"Abeomelomys sevia","4712","Tate & Archbold","null","NULL","{""1935"":1935}","false","null","false","Tate & Archbold","null","null","iucn","sevia","null","null","Menzies&#39; Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","murinae","hydromyini","abeomelomys","false","","","","false","australasia/oceania","","","true","17879","false","","","","","","","","","","false","NA","",""
"Abrawayaomys ruschii","3589","Cuhna & Cruz","null","includes chebezi","{""1979"":1979}","false","null","false","Cuhna & Cruz","null","null","iucn","ruschii","null","null","Ruschi&#39;s Rat","Percequillo, A. R., Braga, C. A. D. C., Brandão, M. V., Abreu-Júnior, E. F. D., Gualda-Barros, J., Lessa, G. M., ... & Hingst-Zaher, E. (2017). The genus Abrawayaomys Cunha and Cruz, 1979 (Rodentia: Cricetidae: Sigmodontinae): geographic variation and species definition. Journal of Mammalogy, 98(2), 438-455.","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","incertae","abrawayaomys","false","","includes chebezi","percequillo, a. r., braga, c. a. d. c., brandão, m. v., abreu-júnior, e. f. d., gualda-barros, j., lessa, g. m., ... & hingst-zaher, e. (2017). the genus abrawayaomys cunha and cruz, 1979 (rodentia: cricetidae: sigmodontinae): geographic variation and species definition. journal of mammalogy, 98(2), 438-455.","false","neotropics","","","true","16","false","","Pardiñas, U.F.J., Teta, P. & D'Elía, G. 2009. Taxonomy & distribution of Abrawayaomys (Rodentia: Cricetidae), an Atlantic Forest endemic with the description of a new species. Zootaxa 2128:39-60.","Pardiñas, U.F.J., Teta, P & D'Elía, G","2009","https://www.researchgate.net/publication/236917997 Taxonomy And Distribution Of Abrawayaomys Rodentia Cricetidae An Atlantic Forest Endemic With The Description Of A New Species","Pardiñas, U.F.J., Teta, P. & D'Elía, G. 2009. Taxonomy & distribution of Abrawayaomys (Rodentia: Cricetidae), an Atlantic Forest endemic with the description of a new species. Zootaxa 2128:39-60.","Pardiñas, U.F.J., Teta, P & D'Elía, G","2009","https://www.researchgate.net/publication/236917997 Taxonomy And Distribution Of Abrawayaomys Rodentia Cricetidae An Atlantic Forest Endemic With The Description Of A New Species","false","NA","",""
"Abrocoma bennettii","3494","Waterhouse","null","NULL","{""1837"":1837}","false","null","false","Waterhouse","null","null","iucn","bennettii","null","null","Bennett&#39;s Chinchilla Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","","","false","neotropics","","","true","42656","false","","","","","","","","","","false","NA","",""
"Abrocoma boliviensis","3495","Glanz & Anderson","null","NULL","{""1837"":1990}","false","null","false","Waterhouse","null","null","iucn","boliviensis","null","null","Bolivian Chinchilla Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","","","false","neotropics","","","true","18","false","","","","","","","","","","false","NA","",""
"Abrocoma budini","3496","Thomas","null","NULL","{""1921"":1921}","false","null","false","Thomas","null","null","iucn","budini","null","null","Budin&rsquo;s Chinchilla Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","","","false","neotropics","","","true","136334","false","","","","","","","","","","false","NA","",""
"Abrocoma cinerea","3497","Thomas","null","NULL","{""1921"":1921}","false","null","false","Thomas","null","null","iucn","cinerea","null","null","Ashy Chinchilla Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","","","false","neotropics","","","true","42657","false","","","","","","","","","","false","NA","",""
"Abrocoma famatina","3498","Thomas","null","NULL","{""1921"":1921}","false","null","false","Thomas","null","null","iucn","famatina","null","null","Famatina Chinchilla Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","","","false","neotropics","","","true","136367","false","","","","","","","","","","false","NA","",""
"Abrocoma schistacea","6042","Thomas","null","commonly spelt &#39;shistacea,&#39; correctly spelt &#39;schistacea&#39;","{""1921"":1921}","false","null","false","Thomas","null","null","null","schistacea","null","null","NULL","Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.","null","null","null","null","null","null","null","null","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","commonly spelt 'shistacea,' correctly spelt 'schistacea'","patton, j. l., pardiñas, u. f., & d'elía, g. (2015). mammals of south america, volume 2: rodents (vol. 2). university of chicago press.","false","neotropics","","","true","400000001","false","","","","","","","","","","false","NA","",""
"Abrocoma uspallata","3500","Braun & Mares","null","NULL","{""1837"":2002}","false","null","false","Waterhouse","null","null","iucn","uspallata","null","null","Uspallata Chinchilla Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","","","false","neotropics","","","true","136302","false","","","","","","","","","","false","NA","",""
