"id","species_authority","canonical_sciname","image","notes","authority_year","parens_auth_genus","internal_id","major_type","genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","simple_linnean_group","linnean_order","source","species","taxon_credit","taxon_credit_date","common_name","major_subtype","linnean_family","simple_linnean_subgroup"
"1","","Amblysomus corriae","","","","0","62006","","amblysomus","","0","","","","eutheria","afrosoricida","iucn","corriae","","","","","chrysochloridae","tenrecs / golden moles"
"2","","Amblysomus hottentotus","","","","0","41316","","amblysomus","","0","","","","eutheria","afrosoricida","iucn","hottentotus","","","","","chrysochloridae","tenrecs / golden moles"
"3","","Amblysomus marleyi","","","","0","62007","","amblysomus","","0","","","","eutheria","afrosoricida","iucn","marleyi","","","","","chrysochloridae","tenrecs / golden moles"
"4","","Amblysomus robustus","","","","0","62008","","amblysomus","","0","","","","eutheria","afrosoricida","iucn","robustus","","","","","chrysochloridae","tenrecs / golden moles"
"5","","Amblysomus septentrionalis","","","","0","62009","","amblysomus","","0","","","","eutheria","afrosoricida","iucn","septentrionalis","","","","","chrysochloridae","tenrecs / golden moles"
"6","","Calcochloris obtusirostris","","","","0","3519","","calcochloris","","0","","","","eutheria","afrosoricida","iucn","obtusirostris","","","","","chrysochloridae","tenrecs / golden moles"
"7","","Calcochloris tytonis","","","","0","4767","","calcochloris","","0","","","","eutheria","afrosoricida","iucn","tytonis","","","","","chrysochloridae","tenrecs / golden moles"
"8","","Carpitalpa arendsi","","","","0","40596","","carpitalpa","","0","","","","eutheria","afrosoricida","iucn","arendsi","","","","","chrysochloridae","tenrecs / golden moles"
"9","","Chlorotalpa duthieae","","","","0","4768","","chlorotalpa","","0","","","","eutheria","afrosoricida","iucn","duthieae","","","","","chrysochloridae","tenrecs / golden moles"
"10","","Chlorotalpa sclateri","","","","0","4766","","chlorotalpa","","0","","","","eutheria","afrosoricida","iucn","sclateri","","","","","chrysochloridae","tenrecs / golden moles"
"11","","Chrysochloris asiatica","","","","0","40600","","chrysochloris","","0","","","","eutheria","afrosoricida","iucn","asiatica","","","","","chrysochloridae","tenrecs / golden moles"
"12","","Chrysochloris stuhlmanni","","","","0","40601","","chrysochloris","","0","","","","eutheria","afrosoricida","iucn","stuhlmanni","","","","","chrysochloridae","tenrecs / golden moles"
"13","","Chrysochloris visagiei","","","","0","4812","","chrysochloris","","0","","","","eutheria","afrosoricida","iucn","visagiei","","","","","chrysochloridae","tenrecs / golden moles"
"14","","Chrysospalax trevelyani","","","","0","4828","","chrysospalax","","0","","","","eutheria","afrosoricida","iucn","trevelyani","","","","","chrysochloridae","tenrecs / golden moles"
"15","","Chrysospalax villosus","","","","0","4829","","chrysospalax","","0","","","","eutheria","afrosoricida","iucn","villosus","","","","","chrysochloridae","tenrecs / golden moles"
"16","","Cryptochloris wintoni","","","","0","5748","","cryptochloris","","0","","","","eutheria","afrosoricida","iucn","wintoni","","","","","chrysochloridae","tenrecs / golden moles"
