canonical_sciname,id,species_authority,image,notes,authority_year,parens_auth_genus,taxon_author,parens_auth_species,genus_authority,deprecated_scientific,subspecies,source,species,taxon_credit,taxon_credit_date,common_name,citation,image_credit,image_license,entry,common_name_source,image_caption,species_authority_citation,genus_authority_citation,simple_linnean_group,simple_linnean_group_alt,major_type,major_subtype,simple_linnean_subgroup,linnean_order,linnean_family,linnean_subfamily,linnean_tribe,genus,juniorSynonym,synonymOf,TaxonomyNotes,TaxonomyNotes_Citation,extinct,geo_distribution,authority_fullcitation,authority_link,MDDv1,internal_id,newSppSinceMSW3,IfNew_category,IfNew_evidenceCitation,IfNew_evidenceAuthors,IfNew_evidenceYear,IfNew_evidenceLink,IfNew_nameCitation,IfNew_nameAuthors,IfNew_nameYear,IfNew_nameLink,genusTransfersinceMSW3,IfTransfer_oldSciName,IfTransfer_oldIUCN_ID,IfTransfer_evidenceCitation
Abditomys latidens,4711,Sanborn,NULL,NULL,"{""1952"":1952}",0,NULL,0,Sanborn,NULL,NULL,iucn,latidens,NULL,NULL,Luzon Broad-toothed Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,MURIDAE,MURINAE,RATTINI,Abditomys,NO,NA,NA,NA,0,Indomalayan,NA,NA,1,42641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abeomelomys sevia,4712,Tate & Archbold,NULL,NULL,"{""1935"":1935}",0,NULL,0,Tate & Archbold,NULL,NULL,iucn,sevia,NULL,NULL,Menzies&#39; Mouse,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,MURIDAE,MURINAE,HYDROMYINI,Abeomelomys,NO,NA,NA,NA,0,Australasia/Oceania,NA,NA,1,17879,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrawayaomys ruschii,3589,Cuhna & Cruz,NULL,includes chebezi,"{""1979"":1979}",0,NULL,0,Cuhna & Cruz,NULL,NULL,iucn,ruschii,NULL,NULL,Ruschi&#39;s Rat,"Percequillo, A. R., Braga, C. A. D. C., Brandão, M. V., Abreu-Júnior, E. F. D., Gualda-Barros, J., Lessa, G. M., ... & Hingst-Zaher, E. (2017). The genus Abrawayaomys Cunha and Cruz, 1979 (Rodentia: Cricetidae: Sigmodontinae): geographic variation and species definition. Journal of Mammalogy, 98(2), 438-455.",NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,CRICETIDAE,SIGMODONTINAE,INCERTAE,Abrawayaomys,NO,NA,includes chebezi,"Percequillo, A. R., Braga, C. A. D. C., Brandão, M. V., Abreu-Júnior, E. F. D., Gualda-Barros, J., Lessa, G. M., ... & Hingst-Zaher, E. (2017). The genus Abrawayaomys Cunha and Cruz, 1979 (Rodentia: Cricetidae: Sigmodontinae): geographic variation and species definition. Journal of Mammalogy, 98(2), 438-455.",0,Neotropics,NA,NA,1,16,0,NA,"Pardiñas, U.F.J., Teta, P. & D'Elía, G. 2009. Taxonomy & distribution of Abrawayaomys (Rodentia: Cricetidae), an Atlantic Forest endemic with the description of a new species. Zootaxa 2128:39-60.","Pardiñas, U.F.J., Teta, P & D'Elía, G",2009,https://www.researchgate.net/publication/236917997 Taxonomy And Distribution Of Abrawayaomys Rodentia Cricetidae An Atlantic Forest Endemic With The Description Of A New Species,"Pardiñas, U.F.J., Teta, P. & D'Elía, G. 2009. Taxonomy & distribution of Abrawayaomys (Rodentia: Cricetidae), an Atlantic Forest endemic with the description of a new species. Zootaxa 2128:39-60.","Pardiñas, U.F.J., Teta, P & D'Elía, G",2009,https://www.researchgate.net/publication/236917997 Taxonomy And Distribution Of Abrawayaomys Rodentia Cricetidae An Atlantic Forest Endemic With The Description Of A New Species,0,NA,NA,NA
Abrocoma bennettii,3494,Waterhouse,NULL,NULL,"{""1837"":1837}",0,NULL,0,Waterhouse,NULL,NULL,iucn,bennettii,NULL,NULL,Bennett&#39;s Chinchilla Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,NA,NA,0,Neotropics,NA,NA,1,42656,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrocoma boliviensis,3495,Glanz & Anderson,NULL,NULL,"{""1837"":1990}",0,NULL,0,Waterhouse,NULL,NULL,iucn,boliviensis,NULL,NULL,Bolivian Chinchilla Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,NA,NA,0,Neotropics,NA,NA,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrocoma budini,3496,Thomas,NULL,NULL,"{""1921"":1921}",0,NULL,0,Thomas,NULL,NULL,iucn,budini,NULL,NULL,Budin&rsquo;s Chinchilla Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,NA,NA,0,Neotropics,NA,NA,1,136334,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrocoma cinerea,3497,Thomas,NULL,NULL,"{""1921"":1921}",0,NULL,0,Thomas,NULL,NULL,iucn,cinerea,NULL,NULL,Ashy Chinchilla Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,NA,NA,0,Neotropics,NA,NA,1,42657,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrocoma famatina,3498,Thomas,NULL,NULL,"{""1921"":1921}",0,NULL,0,Thomas,NULL,NULL,iucn,famatina,NULL,NULL,Famatina Chinchilla Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,NA,NA,0,Neotropics,NA,NA,1,136367,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrocoma schistacea,6042,Thomas,NULL,"commonly spelt &#39;shistacea,&#39; correctly spelt &#39;schistacea&#39;","{""1921"":1921}",0,NULL,0,Thomas,NULL,NULL,NULL,schistacea,NULL,NULL,NULL,"Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,"commonly spelt 'shistacea,' correctly spelt 'schistacea'","Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.",0,Neotropics,NA,NA,1,400000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrocoma uspallata,3500,Braun & Mares,NULL,NULL,"{""1837"":2002}",0,NULL,0,Waterhouse,NULL,NULL,iucn,uspallata,NULL,NULL,Uspallata Chinchilla Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,NA,NA,0,Neotropics,NA,NA,1,136302,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrocoma vaccarum,3501,Thomas,NULL,NULL,"{""1921"":1921}",0,NULL,0,Thomas,NULL,NULL,iucn,vaccarum,NULL,NULL,Mendozan Chinchilla Rat,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,NO,NA,NA,NA,0,Neotropics,NA,NA,1,136546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrothrix andina,6045,Philippi,NULL,spelt &#39;andina&#39; to match generic gender,"{""1837"":1858}",0,NULL,0,Waterhouse,NULL,NULL,NULL,andina,NULL,NULL,NULL,"Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,NO,NA,spelt 'andina' to match generic gender,"Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.",0,Neotropics,NA,NA,1,400000002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Abrothrix hershkovitzi,3591,"Petterson, Gallardo, & Freas",NULL,NULL,"{""1837"":1984}",0,NULL,0,Waterhouse,NULL,NULL,iucn,hershkovitzi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,iucn,NULL,NULL,NULL,eutheria,Placentalia,Placentalia,Boreoeutheria,rodents,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,NO,NA,NA,NA,0,Neotropics,NA,NA,1,734,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
