genus,species,subspecies,deprecated_scientific,common_name,linnean_order,major_type,major_common_type,major_subtype,minor_type,genus_authority,species_authority,authority_year,image,notes,
Alligator,mississippiensis,,,American Alligator,Crocodilia,Crocodilia,Crocodilians,Alligators,,"Alligator Cuvier, 1807","(Daudin, 1802 ""1801"")",,,,
Crocodylus,acutus,,,American Crocodile,Crocodilia,Crocodilia,Crocodilians,Crocodiles,,"Crocodylus Laurenti, 1768","Cuvier, 1807",,,,
Actinemys,marmorata,,,Western Pond Turtle,Testudines,Testudines,Turtles,Western Pond Turtles,,"Actinemys Agassiz, 1857","(Baird and Girard, 1852)",,,,
Apalone,ferox,,,Florida Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(Schneider, 1783)",,,,
Apalone,mutica,,,Smooth Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(LeSueur, 1827)",,,,
Apalone,mutica,mutica,,Midland Smooth Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(LeSueur, 1827)",,,,
Apalone,mutica,calvata,,Gulf Coast Smooth Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(Webb, 1959)",,,,
Apalone,spinifera,,,Spiny Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(LeSueur, 1827)",,,,
Apalone,spinifera,spinifera,,Eastern Spiny Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(LeSueur, 1827)",,,,
Apalone,spinifera,aspera,,Gulf Coast Spiny Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(Agassiz, 1857)",,,,
Apalone,spinifera,emoryi,,Texas Spiny Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(Agassiz, 1857)",,,,
Apalone,spinifera,guadalupensis,,Guadalupe Spiny Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(Webb, 1962)",,,,
Apalone,spinifera,pallida,,Pallid Spiny Softshell,Testudines,Testudines,Turtles,North American Softshells,,"Apalone Rafinesque, 1832","(Webb, 1962)",,,,
Caretta,caretta,,,Loggerhead Sea Turtle,Testudines,Testudines,Turtles,Loggerhead Sea Turtles,,"Caretta Rafinesque, 1814","(Linnaeus, 1758)",,,,
Chelonia,mydas,,,Green Sea Turtle,Testudines,Testudines,Turtles,Green Sea Turtles,,"Chelonia Brongniart, 1800","(Linnaeus, 1758)",,,,
Chelydra,serpentina,,,Snapping Turtle,Testudines,Testudines,Turtles,Snapping Turtles,,"Chelydra Schweigger, 1812","(Linnaeus, 1758)",,,,
Chrysemys ,picta,,,Painted Turtle,Testudines,Testudines,Turtles,Painted Turtles,,"Chrysemys Gray, 1844","(Schneider, 1783)",,,,
Chrysemys ,picta,bellii,,Western Painted Turtle,Testudines,Testudines,Turtles,Painted Turtles,,"Chrysemys Gray, 1844","(Gray, 1831)",,,,
Chrysemys ,picta,marginata,,Midland Painted Turtle,Testudines,Testudines,Turtles,Painted Turtles,,"Chrysemys Gray, 1844","Agassiz, 1857",,,,
Chrysemys ,picta,picta,,Eastern Painted Turtle,Testudines,Testudines,Turtles,Painted Turtles,,"Chrysemys Gray, 1844","(Schneider, 1783)",,,,
Chrysemys ,dorsalis,,,Southern Painted Turtle,Testudines,Testudines,Turtles,Painted Turtles,,"Chrysemys Gray, 1844","Agassiz, 1857",,,,
Clemmys,guttata,,,Spotted Turtle,Testudines,Testudines,Turtles,Spotted Turtles,,"Clemmys Ritgen, 1828","(Schneider, 1792)",,,,
Deirochelys,reticularia,,,Chicken turtle,Testudines,Testudines,Turtles,Chicken Turtles,,"Deirochelys Agassiz, 1857","(Latreille, in Sonnini and Latreille 1801)",,,,
Deirochelys,reticularia,chrysea,,Florida Chicken Turtle,Testudines,Testudines,Turtles,Chicken Turtles,,"Deirochelys Agassiz, 1857","Schwartz, 1956",,,,
Deirochelys,reticularia,miaria,,Western Chicken Turtle,Testudines,Testudines,Turtles,Chicken Turtles,,"Deirochelys Agassiz, 1857","Schwartz, 1956",,,,
Deirochelys,reticularia,reticularia,,Eastern Chicken Turtle,Testudines,Testudines,Turtles,Chicken Turtles,,"Deirochelys Agassiz, 1857","(Latreille, in Sonnini and Latreille 1801)",,,,
Dermochelys,coriacea,,,Leatherback Sea Turtle,Testudines,Testudines,Turtles,Leatherback Sea Turtles,,"Dermochelys Blainville, 1816","(Vandelli, 1761)",,,,
Emydoidea,blandingii,,,Blanding's Turtle,Testudines,Testudines,Turtles,Blanding's Turtles,,"Emydoidea Gray, 1870","(Holbrook, 1838)",,,,
Eretmochelys,imbricata,,,Hawksbill Sea Turtle,Testudines,Testudines,Turtles,Hawksbill Sea Turtles,,"Eretmochelys Fitzinger, 1843","(Linnaeus, 1766)",,,,
Eretmochelys,imbricata,bissa,,Pacific Hawksbill Sea Turtle,Testudines,Testudines,Turtles,Hawksbill Sea Turtles,,"Eretmochelys Fitzinger, 1843","(Rüppell, 1835)",,,,
Eretmochelys,imbricata,imbricata,,Atlantic Hawksbill Sea Turtle,Testudines,Testudines,Turtles,Hawksbill Sea Turtles,,"Eretmochelys Fitzinger, 1843","(Linnaeus, 1766)",,,,
Glyptemys,insculpta,,,Wood Turtle,Testudines,Testudines,Turtles,Sculpted Turtles,,"Glyptemys Agassiz, 1857","(LeConte, 1830)",,,,
Glyptemys,muhlenbergii,,,Bog Turtle,Testudines,Testudines,Turtles,Sculpted Turtles,,"Glyptemys Agassiz, 1857","(Schoepff, 1801)",,,,
Gopherus,agassizii,,,Mohave Desert Tortoise,Testudines,Testudines,Turtles,Gopher Tortoises,,"Gopherus Rafinesque, 1832","(Cooper, 1861)",,,,
Gopherus,berlandieri,,,Berlandier's Tortoise,Testudines,Testudines,Turtles,Gopher Tortoises,,"Gopherus Rafinesque, 1832","(Agassiz, 1857)",,,,
Gopherus,morafkai,,,Sonoran Desert Tortoise,Testudines,Testudines,Turtles,Gopher Tortoises,,"Gopherus Rafinesque, 1832","Murphy, Berry, Edwards, Leviton, Lathrop, and Riedle, 2011",,,,
Gopherus,polyphaemus,,,Gopher Tortoise,Testudines,Testudines,Turtles,Gopher Tortoises,,"Gopherus Rafinesque, 1832","(Daudin, 1802)",,,,
Graptemys,barbouri,,,Barbour's Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Carr and Marchand, 1942",,,,
Graptemys,caglei,,,Cagle's Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Haynes and McKown, 1974",,,,
Graptemys,ernsti,,,Escambia Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Lovich and McCoy, 1992",,,,
Graptemys,flavimaculata,,,Yellow-blotched Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Cagle, 1954",,,,
Graptemys,geographica,,,Northern Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","(LeSueur, 1817)",,,,
Graptemys,gibbonsi,,,Pascagoula Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Lovich and McCoy, 1992",,,,
Graptemys,nigrinoda,,,Black-knobbed Turtles,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Cagle, 1954",,,,
Graptemys,nigrinoda,delticola,,Southern Black-knobbed Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Folkerts and Mount, 1969",,,,
Graptemys,nigrinoda,nigrinoda,,Northern Black-knobbed Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Cagle, 1954",,,,
Graptemys,oculifera,,,Ringed Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","(Bauer, 1890)",,,,
Graptemys,ouachitensis,,,Ouachita Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Cagle, 1953",,,,
Graptemys,pearlensis,,,Pearl River Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Ennen, Lovich, Kreiser, Selman, and Qualls, 2010",,,,
Graptemys,pseudogeographica,,,False Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","(Gray, 1831)",,,,
Graptemys,pseudogeographica,kohnii,,Mississippi Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","(Baur, 1890)",,,,
Graptemys,pseudogeographica,pseudogeographica,,Northern False Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","(Gray, 1831)",,,,
Graptemys,pulchra,,,Alabama Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Baur, 1893",,,,
Graptemys,sabinensis,,,Sabine Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Cagle, 1953",,,,
Graptemys,versa,,,Texas Map Turtle,Testudines,Testudines,Turtles,Map Turtles,,"Graptemys Agassiz, 1857","Stejneger, 1925",,,,
Kinosternon,arizonense,,,Arizona Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","Gilmore, 1922",,,,
Kinosternon,baurii,,,Striped Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","(Garman, 1891)",,,,
Kinosternon,flavescens,,,Yellow Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","(Agassiz, 1857)",,,,
Kinosternon,hirtipes,,,Rough-footed Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","(Wagler, 1830)",,,,
Kinosternon,hirtipes,murrayi,,Mexican Plateau Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","Glass and Hartweg, 1951",,,,
Kinosternon,sonoriense,,,Sonora Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","LeConte, 1854",,,,
Kinosternon,sonoriense,longifemorale,,Sonoyta Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","Iverson, 1981",,,,
Kinosternon,sonoriense,sonoriense,,Desert Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","LeConte, 1854",,,,
Kinosternon,subrubrum,,,Eastern Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","(Lacépède, 1788)",,,,
Kinosternon,subrubrum,hippocrepis,,Mississippi Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","Gray, 1855",,,,
Kinosternon,subrubrum,subrubrum,,Southeastern Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","(Lacépède, 1788)",,,,
Kinosternon,steindachneri,,,Florida Mud Turtle,Testudines,Testudines,Turtles,American Mud Turtles,,"Kinosternon Spix, 1824","Siebenrock, 1906",,,,
Lepidochelys,kempii,,,Kemp's Ridley Sea Turtle,Testudines,Testudines,Turtles,Ridley Sea Turtles,,"Lepidochelys Fitzinger, 1843","(Garman, 1880)",,,,
Lepidochelys,olivacea,,,Olive Ridley Sea Turtle,Testudines,Testudines,Turtles,Ridley Sea Turtles,,"Lepidochelys Fitzinger, 1843","(Eschscholtz, 1829)",,,,
Macrochelys,appalachicolae,,,Suwannee Alligator Snapping Turtle,Testudines,Testudines,Turtles,Alligator Snapping Turtles,,"Macrochelys Gray, 1855","Thomas, Granatosky, Bourque, Krysko, Moler, Gamble, Suarez, Leone, Enge, and Roman, 2014",,,,
