"genus","species","subspecies","deprecated_scientific","common_name","linnean_order","major_type","major_common_type","major_subtype","minor_type","genus_authority","species_authority","authority_year","image","notes",""
"Alligator","mississippiensis","","","American Alligator","Crocodilia","Crocodilia","Crocodilians","Alligators","","Cuvier","Daudin","{""1807"": ""1802 \""1801\""""}","","",""
"Crocodylus","acutus","","","American Crocodile","Crocodilia","Crocodilia","Crocodilians","Crocodiles","","Laurenti","Cuvier","{""1768"": ""1807""}","","",""
"Actinemys","marmorata","","","Western Pond Turtle","Testudines","Testudines","Turtles","Western Pond Turtles","","Agassiz","Baird and Girard","{""1857"": ""1852""}","","",""
"Apalone","ferox","","","Florida Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","Schneider","{""1832"": ""1783""}","","",""
"Apalone","mutica","","","Smooth Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","LeSueur","{""1832"": ""1827""}","","",""
"Apalone","mutica","mutica","","Midland Smooth Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","LeSueur","{""1832"": ""1827""}","","",""
"Apalone","mutica","calvata","","Gulf Coast Smooth Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","Webb","{""1832"": ""1959""}","","",""
"Apalone","spinifera","","","Spiny Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","LeSueur","{""1832"": ""1827""}","","",""
"Apalone","spinifera","spinifera","","Eastern Spiny Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","LeSueur","{""1832"": ""1827""}","","",""
"Apalone","spinifera","aspera","","Gulf Coast Spiny Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","Agassiz","{""1832"": ""1857""}","","",""
"Apalone","spinifera","emoryi","","Texas Spiny Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","Agassiz","{""1832"": ""1857""}","","",""
"Apalone","spinifera","guadalupensis","","Guadalupe Spiny Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","Webb","{""1832"": ""1962""}","","",""
"Apalone","spinifera","pallida","","Pallid Spiny Softshell","Testudines","Testudines","Turtles","North American Softshells","","Rafinesque","Webb","{""1832"": ""1962""}","","",""
"Caretta","caretta","","","Loggerhead Sea Turtle","Testudines","Testudines","Turtles","Loggerhead Sea Turtles","","Rafinesque","Linnaeus","{""1814"": ""1758""}","","",""
"Chelonia","mydas","","","Green Sea Turtle","Testudines","Testudines","Turtles","Green Sea Turtles","","Brongniart","Linnaeus","{""1800"": ""1758""}","","",""
"Chelydra","serpentina","","","Snapping Turtle","Testudines","Testudines","Turtles","Snapping Turtles","","Schweigger","Linnaeus","{""1812"": ""1758""}","","",""
"Chrysemys ","picta","","","Painted Turtle","Testudines","Testudines","Turtles","Painted Turtles","","Gray","Schneider","{""1844"": ""1783""}","","",""
"Chrysemys ","picta","bellii","","Western Painted Turtle","Testudines","Testudines","Turtles","Painted Turtles","","Gray","Gray","{""1844"": ""1831""}","","",""
"Chrysemys ","picta","marginata","","Midland Painted Turtle","Testudines","Testudines","Turtles","Painted Turtles","","Gray","Agassiz","{""1844"": ""1857""}","","",""
"Chrysemys ","picta","picta","","Eastern Painted Turtle","Testudines","Testudines","Turtles","Painted Turtles","","Gray","Schneider","{""1844"": ""1783""}","","",""
"Chrysemys ","dorsalis","","","Southern Painted Turtle","Testudines","Testudines","Turtles","Painted Turtles","","Gray","Agassiz","{""1844"": ""1857""}","","",""
"Clemmys","guttata","","","Spotted Turtle","Testudines","Testudines","Turtles","Spotted Turtles","","Ritgen","Schneider","{""1828"": ""1792""}","","",""
"Deirochelys","reticularia","","","Chicken turtle","Testudines","Testudines","Turtles","Chicken Turtles","","Agassiz","Latreille","{""1857"": ""in Sonnini and Latreille 1801""}","","",""
